Day,Treatment,Volume,Ca,Fe,Mg,Mn,P,S,Cl,C,N
0,K1,1000,0.2896491510912127,0.10624891917177413,0.10809891211866486,0.0024895186708227155,0.03523365952922427,0.019651766613245032,NA,NA,NA
0,K2,1000,0.568200570190065,0.13436192414704706,0.19980152733132078,0.004096881812636513,0.05092305747558647,0.03624851869539248,0.6633486899702866,NA,NA
0,K3,1000,0.09041591841406053,0.05313664642425508,0.11028070821501343,0.0015924801497599647,0.03386262238973149,0.02190811436373002,NA,1.2544674148337576,0.3492014571055606
0,NPC1,1000,0.27678173605387135,0.06433025746527302,0.09638683524316481,2.1647988441945987e-5,0.01274883318558003,0.0181265412527837,NA,69.88687092619574,0.2861125996915592
0,NPC2,1000,0.18786425954518782,0.04308656705010219,0.11231745838473277,4.4378376305969497e-4,0.013152606135891165,0.019993139614329733,0.44504078191778135,69.4802671796792,0.35767505568155933
0,NPC3,1000,0.08169320030262917,0.026884165439831825,0.06727993476675595,5.168457240512375e-4,0.011711852146186263,0.013728853768221949,NA,70.36400342707853,0.3593903590370222
0,uZ1,1000,NA,NA,NA,NA,0.027847419659502354,0.013915969985394044,NA,198.48202053766528,2.7294421583165445
0,uZ2,1000,NA,NA,NA,NA,0.02559555626044874,0.008421142534779318,NA,203.48486269914977,2.70050499070985
0,uZ3,1000,NA,NA,NA,NA,0.02466666831909029,0.008642030947245888,NA,204.47536293454593,2.6889609991275716
1,K1,1000,0.2759217031721979,0.03914412483805069,0.15053018945499935,7.035596243629462e-4,0.016587097572029405,0.02973413605169857,0.5599298107186114,NA,NA
1,K2,1000,0.0444537765261784,0.03905069241056262,0.1274877355109182,NA,0.01405746323635081,0.02585124635486883,0.4711959377465854,NA,NA
1,K3,1000,NA,0.02212926733657963,0.19601964564436816,NA,0.012229657375743448,0.03072265733558823,0.9360297760824671,NA,NA
1,NPC1,1000,NA,0.014884191926797213,0.13816464251005406,1.3529992776209476e-4,0.007371681261420736,0.0296483364204099,0.7966274647116208,56.56032868205182,NA
1,NPC2,1000,0.05571689945732228,0.10970388784910523,0.1376348431780507,0.0038046339686703817,0.010745958537284026,0.025602975081352675,0.7357824738766297,70.09864607187188,0.4223076861154782
1,NPC3,1000,0.07644369190564637,0.10266801983130702,0.11895140102898352,0.0031308403284150896,0.015394692728951722,0.024025722284897157,0.4029070226963435,76.81014269358184,0.5356206257774954
1,uZ1,1000,NA,0.03579680656630371,0.1588878884272959,6.629696460343157e-4,0.010358815294362939,0.029254023221296017,0.903356880953626,72.24252376672729,0.5085531388282583
1,uZ2,1000,NA,0.011804984099146432,0.06994572621827763,0.0048072064333875494,0.020241247340946105,0.016382253003925772,NA,78.78661753782183,0.6251251548656582
1,uZ3,1000,NA,0.011790766121050456,0.175759019893112,NA,0.007829272330702965,0.023969131038728032,0.7437698619677499,57.225172688262006,NA
2,K1,1000,NA,NA,NA,NA,NA,0.007729268912260054,NA,200.97447221441976,2.4673380879236437
2,K2,1000,NA,NA,NA,NA,0.007993802878910005,0.011851302262256084,NA,200.4201622924495,2.7459205058847114
2,K3,1000,NA,NA,NA,NA,0.027909430802810293,0.04532137332315168,1.4613373658451765,186.30157495923402,2.6942898748852167
2,NPC1,1000,NA,NA,NA,NA,0.038433477164189746,0.012299468421434132,NA,205.38463862483144,2.836917348892129
2,NPC2,1000,NA,NA,NA,NA,0.018571210499167413,NA,NA,190.99443059014598,2.1457187087739595
2,NPC3,1000,NA,NA,NA,NA,0.08287399449161131,0.009249017700511468,NA,207.7595197117329,3.0319130343413896
2,uZ1,1000,NA,NA,NA,NA,0.036451709452196494,0.011566520507340507,NA,199.96043720989127,2.7426442764757732
2,uZ2,1000,NA,NA,NA,NA,0.08691044478646189,0.014958344229347869,NA,210.05688338890766,3.3206157420997
2,uZ3,1000,NA,NA,NA,NA,0.09011897322053641,0.010926674320815434,NA,207.28173745478415,3.24562267939877
